-12016.209,-97419.547,159780.203,-49342.910,2399.236,-103756.711,-34683.113,-47745.027,0.433,-0.510,1.004,0.000,0.000,0.000,73.333,1.000,1.000
-1364.440,-1243.830,-1791.895,11.265,1045.346,-191.778,-2490.163,-24.587,0.442,-0.520,1.009,0.000,0.000,0.000,73.333,2.000,1.000
-4714.430,189.722,-3459.603,-32.991,-2298.475,-163.257,-3651.113,0.000,0.447,-0.525,1.009,0.000,0.000,0.000,73.333,3.000,1.000
-2706.171,-6601.275,-3862.382,-531.167,-4109.950,-770.778,-3250.123,0.000,0.448,-0.525,1.011,0.000,0.000,0.000,73.333,4.000,1.000
-612.617,-11777.939,-2899.200,-1018.435,-3229.112,-919.014,-2772.689,0.000,0.448,-0.523,1.012,0.000,0.000,0.000,73.333,5.000,1.000
-4169.227,-4061.670,-2101.601,-789.732,-2526.731,-317.752,-2305.985,0.000,0.448,-0.523,1.008,-6.561,-3.540,-6.195,73.333,6.000,1.000
-6879.510,-330.538,-1547.992,-532.329,-1973.123,272.691,-1908.571,-2.772,0.447,-0.526,1.008,-3.632,-0.305,-1.740,73.333,7.000,1.000
-900.060,2.950,-1058.221,-374.705,-1610.846,284.404,-1633.197,-162.005,0.447,-0.524,1.010,-2.777,0.610,-0.549,73.333,8.000,1.000
93.341,239.074,-503.451,-388.205,-1476.109,-114.262,-1442.760,-317.395,0.447,-0.522,1.011,-2.380,1.007,0.000,73.333,9.000,1.000
-248.909,279.844,-627.548,-920.355,-1423.091,-620.395,-1206.190,-214.934,0.448,-0.523,1.008,-2.258,1.129,0.275,73.333,10.000,1.000
-785.172,-325.263,-1212.537,-1121.968,-1130.104,-941.098,-973.284,-681.639,0.446,-0.525,1.006,-2.289,1.190,0.336,73.333,11.000,1.000
-661.343,-615.031,-714.630,-818.968,-780.970,-533.044,-886.649,-565.410,0.446,-0.524,1.003,-2.197,1.312,0.305,73.333,12.000,1.000
-580.788,-561.029,-530.720,-711.769,-619.501,-348.330,-835.508,-384.986,0.446,-0.526,1.005,-2.319,1.373,0.183,73.333,13.000,1.000
-540.555,-528.842,-469.744,-701.487,-541.270,-268.132,-859.201,-266.433,0.447,-0.523,1.006,-2.319,1.312,0.214,73.333,14.000,1.000
-550.836,-557.989,-453.740,-802.517,-514.001,-273.496,-997.871,-157.446,0.448,-0.525,1.006,-2.258,1.160,0.244,73.333,15.000,1.000
-608.146,-586.957,-521.690,-773.996,-476.450,-237.465,-1130.015,-57.578,0.448,-0.526,1.007,-2.197,1.190,0.244,73.333,16.000,1.000
-519.991,-422.537,-575.155,-509.888,-327.855,-176.758,-920.445,-15.736,0.447,-0.526,1.010,-2.136,1.160,0.275,73.333,17.000,1.000
-380.963,-371.665,-469.297,-422.090,-303.447,-240.415,-680.298,-148.326,0.447,-0.526,1.010,-2.136,1.190,0.275,73.333,18.000,1.000
